filename,variance_of_laplacian,dest
000260.jpg,30.6038,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000260.jpg
000261.jpg,37.5226,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000261.jpg
000262.jpg,42.7349,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000262.jpg
000263.jpg,51.1717,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000263.jpg
000264.jpg,57.8661,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000264.jpg
000265.jpg,64.4841,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000265.jpg
000266.jpg,70.5442,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000266.jpg
000267.jpg,72.7382,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000267.jpg
000322.jpg,76.7758,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000322.jpg
000323.jpg,71.5829,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000323.jpg
000324.jpg,67.7463,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000324.jpg
000325.jpg,65.2892,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000325.jpg
000326.jpg,62.1019,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000326.jpg
000327.jpg,59.8224,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000327.jpg
000328.jpg,57.7477,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000328.jpg
000329.jpg,51.1473,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000329.jpg
000330.jpg,45.0737,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000330.jpg
000331.jpg,37.0057,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000331.jpg
000332.jpg,36.7939,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000332.jpg
000333.jpg,36.6666,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000333.jpg
000334.jpg,35.0865,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000334.jpg
000335.jpg,26.0464,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000335.jpg
000336.jpg,13.4647,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000336.jpg
000337.jpg,7.1427,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000337.jpg
000338.jpg,4.3800,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000338.jpg
000339.jpg,6.3706,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000339.jpg
000340.jpg,12.1303,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000340.jpg
000341.jpg,12.6891,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000341.jpg
000342.jpg,12.6024,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000342.jpg
000343.jpg,11.2151,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000343.jpg
000344.jpg,12.0327,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000344.jpg
000345.jpg,11.1908,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000345.jpg
000346.jpg,11.5972,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000346.jpg
000347.jpg,12.5248,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000347.jpg
000348.jpg,11.8304,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000348.jpg
000349.jpg,15.1186,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000349.jpg
000350.jpg,16.9358,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000350.jpg
000351.jpg,18.5956,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000351.jpg
000352.jpg,18.7587,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000352.jpg
000353.jpg,19.7403,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000353.jpg
000354.jpg,23.1257,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000354.jpg
000355.jpg,29.0957,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000355.jpg
000356.jpg,33.8786,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000356.jpg
000357.jpg,33.5488,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000357.jpg
000358.jpg,39.8245,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000358.jpg
000359.jpg,39.7268,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000359.jpg
000360.jpg,49.7370,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000360.jpg
000361.jpg,53.0137,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000361.jpg
000362.jpg,56.4815,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000362.jpg
000363.jpg,57.0088,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000363.jpg
000364.jpg,60.7580,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000364.jpg
000365.jpg,58.9584,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000365.jpg
