filename,variance_of_laplacian
000465.jpg,11.2741
000466.jpg,6.1162
000467.jpg,9.1592
000468.jpg,10.6058
000469.jpg,9.3454
000470.jpg,12.2522
000471.jpg,11.2005
000472.jpg,12.2142
000473.jpg,11.5850
000474.jpg,13.8485
000475.jpg,12.0853
000476.jpg,13.0027
000477.jpg,14.3883
000478.jpg,12.0775
000479.jpg,12.2962
000480.jpg,14.6346
000481.jpg,11.9319
000482.jpg,15.3575
000483.jpg,13.6677
000484.jpg,15.6010
000485.jpg,13.0574
000486.jpg,15.3014
000487.jpg,13.1209
000488.jpg,14.8437
000489.jpg,14.8606
000490.jpg,12.6840
000491.jpg,14.4659
000492.jpg,13.0808
000493.jpg,15.1656
000494.jpg,13.9463
000495.jpg,13.9420
000496.jpg,15.2522
000497.jpg,13.7116
000498.jpg,13.3171
000499.jpg,14.9940
000500.jpg,13.4205
000501.jpg,13.7968
000502.jpg,14.8667
000503.jpg,13.3919
000504.jpg,13.9688
000505.jpg,15.6329
000506.jpg,13.7185
000507.jpg,15.7312
000508.jpg,14.0864
000509.jpg,14.9952
000510.jpg,13.3461
000511.jpg,13.2169
000512.jpg,15.1261
000513.jpg,15.1271
000514.jpg,13.6352
000515.jpg,12.3863
000516.jpg,14.2743
000517.jpg,12.0095
000518.jpg,14.3103
000519.jpg,11.9908
000520.jpg,13.8579
000521.jpg,10.6009
000522.jpg,9.1597
000523.jpg,7.9671
000524.jpg,6.8249
000525.jpg,5.9471
000526.jpg,5.4152
000527.jpg,5.3732
000528.jpg,5.7690
000529.jpg,6.6326
000530.jpg,7.4368
000531.jpg,6.6263
000532.jpg,5.8747
000533.jpg,5.6074
000534.jpg,5.3001
000535.jpg,4.6128
000536.jpg,4.5054
000537.jpg,5.8650
000538.jpg,5.8652
000539.jpg,9.3072
000540.jpg,8.9439
000541.jpg,9.7818
000542.jpg,9.1718
000543.jpg,9.4935
000544.jpg,8.5816
000545.jpg,8.2614
000546.jpg,8.1143
000547.jpg,7.8501
000548.jpg,7.8101
000549.jpg,8.2557
000550.jpg,9.6685
000551.jpg,14.8438
000552.jpg,15.6835
000553.jpg,16.2525
000554.jpg,14.8717
000555.jpg,14.6091
000556.jpg,15.4808
000557.jpg,14.5276
000558.jpg,14.4695
000559.jpg,15.2193
000560.jpg,14.0898
000561.jpg,15.0569
000562.jpg,14.9030
000563.jpg,14.0987
000564.jpg,14.8186
000565.jpg,14.0247
000566.jpg,14.9988
000567.jpg,13.4688
000568.jpg,15.9261
000569.jpg,15.2070
000570.jpg,16.8616
000571.jpg,15.6576
000572.jpg,15.3778
000573.jpg,16.5675
000574.jpg,15.6122
000575.jpg,15.5147
000576.jpg,16.2630
000577.jpg,14.4663
000578.jpg,14.6109
000579.jpg,15.9590
000580.jpg,14.7782
000581.jpg,15.6547
000582.jpg,14.5483
000583.jpg,15.7470
000584.jpg,14.8534
000585.jpg,16.1782
000586.jpg,16.2105
000587.jpg,15.3022
000588.jpg,14.8242
000589.jpg,15.8329
000590.jpg,14.6219
000591.jpg,14.6536
000592.jpg,15.6966
000593.jpg,14.3616
000594.jpg,14.5737
000595.jpg,15.4013
000596.jpg,14.0396
000597.jpg,14.9836
000598.jpg,14.0877
000599.jpg,14.6255
000600.jpg,15.2966
000601.jpg,14.5547
000602.jpg,26.7896
000603.jpg,26.9924
000604.jpg,18.3436
000605.jpg,24.6216
000606.jpg,22.2796
000607.jpg,27.0585
000608.jpg,25.8225
000609.jpg,28.4389
000610.jpg,32.6722
000611.jpg,32.7044
000612.jpg,29.0989
000613.jpg,30.5346
000614.jpg,34.3095
000615.jpg,33.7535
000616.jpg,30.6172
000617.jpg,34.4200
000618.jpg,32.7847
000619.jpg,34.1165
000620.jpg,31.9671
000621.jpg,32.8163
000622.jpg,34.0328
000623.jpg,32.3142
000624.jpg,32.1615
000625.jpg,33.9457
000626.jpg,32.7660
000627.jpg,33.0161
000628.jpg,33.8432
000629.jpg,32.5479
000630.jpg,32.3219
000631.jpg,33.6304
000632.jpg,32.0881
000633.jpg,31.6895
000634.jpg,33.5552
000635.jpg,33.5505
000636.jpg,31.9502
000637.jpg,32.1409
000638.jpg,32.6338
000639.jpg,28.1903
000640.jpg,26.3836
000641.jpg,28.2362
000642.jpg,25.0686
000643.jpg,26.5188
000644.jpg,23.9192
000645.jpg,24.7483
